Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
465.511963	21.584221	194.717453	21.620855	193.939392	23.535601	251.915222	23.310881	252.533066	32.819138	-67.712929	32.667404	-67.375465	
467.102966	22.045439	201.431351	21.861877	200.599960	24.752548	255.957138	24.669195	257.056763	34.242897	-66.330925	34.156590	-66.102242	
468.693909	22.440481	207.859253	22.221340	207.003525	26.095203	259.700531	26.029228	260.996246	35.760899	-65.881081	35.664959	-65.147057	
470.284821	22.938097	214.028015	22.688299	213.095688	27.550938	263.474945	27.389793	264.412170	37.355808	-65.262154	37.229820	-64.504501	
471.875641	23.360312	219.662521	23.250994	218.836716	28.863604	266.257385	28.755377	267.351044	38.992622	-64.828545	38.894833	-64.170975	
473.466614	24.120798	224.668457	23.898232	224.202499	30.416176	268.868011	30.136078	269.848358	40.834164	-64.912262	40.712753	-64.142296	
475.057373	24.848940	229.752640	24.619768	229.178146	31.651421	-89.189758	31.546246	-88.071373	42.785126	-65.220741	42.746613	-64.410370	
476.648285	25.679808	234.094574	25.407520	233.759186	33.092087	-87.365303	33.005653	-86.391205	45.127781	-65.640564	45.073837	-64.958344	
478.239166	26.592703	237.786011	26.255657	237.945999	34.612900	-86.243240	34.539158	-85.101654	47.978649	-66.690498	47.787766	-65.752838	
479.829926	27.531425	241.552750	27.161266	241.743149	36.194885	-85.404419	36.178009	-84.199112	51.074039	-67.537392	50.999645	-66.731003	
481.420837	28.373528	244.640457	28.124403	245.156326	37.804367	-84.736816	37.960621	-83.685638	55.029644	-68.524757	54.835194	-67.775848	
483.011627	29.427921	248.267334	29.148033	248.190018	39.813793	-84.536026	39.933502	-83.569061	59.658691	-68.923538	59.421295	-68.663361	
484.602356	30.555593	250.387955	30.238821	250.848480	42.239033	-84.960220	42.153839	-83.862907	65.268074	-69.551399	64.856506	-68.927628	
486.193115	31.652956	252.854828	31.406845	253.132996	44.507835	-85.958679	44.689999	-84.588547	71.319862	-68.617691	71.138107	-67.416367	
487.783783	32.845795	254.344086	32.666058	255.041687	47.419231	-87.025780	47.622574	-85.779442	77.969810	-62.118122	77.989113	-60.279106	
489.374451	34.284885	255.604355	34.035149	256.569489	50.713116	-89.033157	51.044422	-87.491302	84.075005	-28.968422	83.944992	-27.731087	
490.965027	35.806515	256.840729	35.537518	257.706299	54.706875	268.977936	55.054329	-89.823944	82.468506	43.029182	82.584534	41.565094	
492.555847	37.492416	257.429962	37.202377	258.436340	59.299606	265.746948	59.744526	267.024353	75.950073	62.265594	76.152992	62.104019	
494.146332	39.352226	257.773682	39.064114	258.735687	64.816154	261.250427	65.166466	262.615417	69.355400	66.254959	69.633568	66.886208	
495.737061	41.479618	257.617432	41.164978	258.569885	70.871391	254.352753	71.272942	255.804504	63.612041	66.771004	63.832954	67.790520	
497.327698	43.798512	256.604675	43.552334	257.888092	77.257515	241.804077	77.745399	242.818085	58.698479	66.810448	58.877392	67.390144	
498.918060	46.587742	255.336243	46.278740	256.613708	82.778793	206.378845	83.175224	207.334305	54.493633	65.523125	54.712040	66.527473	
